,CPIAUCSL
1973-08-31,0.5653621442616551
1973-09-30,0.5632385556104547
1973-10-31,0.6051363331084935
1973-11-30,0.6170899622964268
1973-12-31,0.6585652815846298
1974-01-31,0.6984840563616728
1974-02-28,0.7225385307373305
1974-03-31,0.7308914127311557
1974-04-30,0.7266863005145846
1974-05-31,0.7652035551659236
1974-06-30,0.7744826219296946
1974-07-31,0.8154911149762979
1974-08-31,0.7762444682976234
1974-09-30,0.8401687922078824
1974-10-31,0.833837019760306
1974-11-30,0.8554870526390361
1974-12-31,0.849118669749576
1975-01-31,0.8284011961206003
1975-02-28,0.7953481131063335
1975-03-31,0.7503465214197004
1975-04-30,0.7338435747663947
1975-05-31,0.6777835827704208
1975-06-30,0.6732167513452261
1975-07-31,0.6943510837926555
1975-08-31,0.6389929715566172
1975-09-30,0.5959687075344683
1975-10-31,0.5803757548424394
1975-11-30,0.5641581566214205
1975-12-31,0.5490807699754041
1976-01-31,0.5226815881432226
1976-02-29,0.49740242366424203
1976-03-31,0.48452358018603514
1976-04-30,0.4717419355265325
1976-05-31,0.49383316104201824
1976-06-30,0.47973248125329937
1976-07-31,0.45400884293586946
1976-08-31,0.46391768750418894
1976-09-30,0.450320248323212
1976-10-31,0.4485061853989545
1976-11-30,0.42426663067937853
1976-12-31,0.422615983750446
1977-01-31,0.43235322295188106
1977-02-28,0.48583369412879723
1977-03-31,0.5067557458968707
1977-04-30,0.5383731165098584
1977-05-31,0.5254263130958335
1977-06-30,0.5232724528846584
1977-07-31,0.5211412648862347
1977-08-31,0.5190323929925063
1977-09-30,0.5064560475845913
1977-10-31,0.5044451184944345
1977-11-30,0.5239143769805699
1977-12-31,0.5218309815501077
1978-01-31,0.5300617570704405
1978-02-28,0.4953298109154367
1978-03-31,0.5035696913556014
1978-04-30,0.5110714015936797
1978-05-31,0.5499123028649627
1978-06-30,0.5677455908683066
1978-07-31,0.5854028924768806
1978-08-31,0.5929982271702596
1978-09-30,0.6308748485636676
1978-10-31,0.6578036952851927
1978-11-30,0.654323327787766
1978-12-31,0.6614404837937417
1979-01-31,0.677248236502874
1979-02-28,0.7129481847444227
1979-03-31,0.7377862732623357
1979-04-30,0.7518498698987583
1979-05-31,0.7646914468457006
1979-06-30,0.7876053397046086
1979-07-31,0.8101694021381907
1979-08-31,0.8334751126856584
1979-09-30,0.8361084174954693
1979-10-31,0.8476989776224405
1979-11-30,0.879180848621518
1979-12-31,0.9191900583651325
1980-01-31,0.9562769633674358
1980-02-29,0.9739940765398557
1980-03-31,1.0
1980-04-30,0.9998163528439409
1980-05-31,0.9899399425396274
1980-06-30,0.9802824000536925
1980-07-31,0.9129003299664495
1980-08-31,0.8971556988226104
1980-09-30,0.8898281951136455
1980-10-31,0.8816209455186497
1980-11-30,0.8815363721987232
1980-12-31,0.8647475233994192
1981-01-31,0.8309832123494605
1981-02-28,0.8066665025485485
1981-03-31,0.7594990776538251
1981-04-30,0.7307537467732843
1981-05-31,0.7099666083892211
1981-06-30,0.7042296883872314
1981-07-31,0.7693524230417033
1981-08-31,0.7719195911142827
1981-09-30,0.7808693240648833
1981-10-31,0.7389451557004074
1981-11-30,0.6971285953262126
1981-12-31,0.656804700910931
1982-01-31,0.6172206944665742
1982-02-28,0.5783563972302965
1982-03-31,0.5343252845469173
1982-04-30,0.5184288437973313
1982-05-31,0.5359597928083897
1982-06-30,0.5522966430289454
1982-07-31,0.514538075841937
1982-08-31,0.4787648336767853
1982-09-30,0.41687329266257467
1982-10-31,0.42238329083933696
1982-11-30,0.3888803738795453
1982-12-31,0.34949343575490727
1983-01-31,0.3423585225311304
1983-02-28,0.3288887534507637
1983-03-31,0.3352688146709668
1983-04-30,0.36002345220535775
1983-05-31,0.3262542339062377
1983-06-30,0.2678374872178461
1983-07-31,0.2608740290171257
1983-08-31,0.2667664173322388
1983-09-30,0.2853188778507643
1983-10-31,0.2846380536115529
1983-11-30,0.3094686283284499
1983-12-31,0.34716041291251365
1984-01-31,0.37755056870230586
1984-02-29,0.40194696468864644
1984-03-31,0.4139757472773949
1984-04-30,0.39353530494414335
1984-05-31,0.38024438736540644
1984-06-30,0.3797174303147405
1984-07-31,0.37866985237032874
1984-08-31,0.3778896632019396
1984-09-30,0.3771141365186177
1984-10-31,0.37608728174348116
1984-11-30,0.36934629299846533
1984-12-31,0.36264519176081483
1985-01-31,0.3313820388835375
1985-02-28,0.3362326640755797
1985-03-31,0.3473407089331016
1985-04-30,0.3347561863251039
1985-05-31,0.3343380038069575
1985-06-30,0.33974777761051217
1985-07-31,0.3272891415598201
1985-08-31,0.3209014545860063
1985-09-30,0.3145503732682037
1985-10-31,0.3138036420024224
1985-11-30,0.330645845334771
1985-12-31,0.34742419197201846
1986-01-31,0.3584229441323686
1986-02-28,0.3115971670204659
1986-03-31,0.24846294426761462
1986-04-30,0.21433982251493794
1986-05-31,0.2197968484448557
1986-06-30,0.22513412065857638
1986-07-31,0.2193258636943406
1986-08-31,0.2135391387299719
1986-09-30,0.22454140620450921
1986-10-31,0.2130127291140507
1986-11-30,0.19594934938354708
1986-12-31,0.19007726622689788
1987-01-31,0.20081149172179766
1987-02-28,0.23400787947956675
1987-03-31,0.2900235959168736
1987-04-30,0.340680421336126
1987-05-31,0.34006849375405623
1987-06-30,0.34478058784295296
1987-07-31,0.35560926555656563
1987-08-31,0.3774435806749605
1987-09-30,0.37650141032044726
1987-10-31,0.3815155742235871
1987-11-30,0.3919843226556408
1987-12-31,0.3800904721962968
1988-01-31,0.3678334718505698
1988-02-29,0.3561324137953545
1988-03-31,0.34989973937647895
1988-04-30,0.3595945671671653
1988-05-31,0.3589540861919886
1988-06-30,0.3578941419056108
1988-07-31,0.3678811311190564
1988-08-31,0.366789554575158
1988-09-30,0.3711907286727766
1988-10-31,0.3757849773589226
1988-11-30,0.37489264375692816
1988-12-31,0.384901937986964
1989-01-31,0.3891913320872404
1989-02-28,0.3991243327354835
1989-03-31,0.41395988735174544
1989-04-30,0.42250472000694367
1989-05-31,0.4371543199781176
1989-06-30,0.43068317090226715
1989-07-31,0.42426663067937853
1989-08-31,0.3975950429775793
1989-09-30,0.3863146433959605
1989-10-31,0.39549893389655955
1989-11-30,0.3995997727765963
1989-12-31,0.39866769973734933
1990-01-31,0.43240682597164304
1990-02-28,0.4363424161068254
1990-03-31,0.4347810625081861
1990-04-30,0.4030187417794187
1990-05-31,0.38210063025661695
1990-06-30,0.4007248496875948
1990-07-31,0.4095235030892411
1990-08-31,0.4629059109051943
1990-09-30,0.49112532622573557
1990-10-31,0.5037960458177195
1990-11-30,0.49266730672777853
1990-12-31,0.4962655930946499
1991-01-31,0.45953739533178134
1991-02-28,0.4393236256342274
1991-03-31,0.40963671334192764
1991-04-30,0.4089587692453591
1991-05-31,0.4225486451977044
1991-06-30,0.40207036405972024
1991-07-31,0.3822465987820304
1991-08-31,0.34790288726963764
1991-09-30,0.32354394744742304
1991-10-31,0.29045534118272937
1991-11-30,0.30362619241878436
1991-12-31,0.298433707119449
1992-01-31,0.2798233828642093
1992-02-29,0.28866786305811326
1992-03-31,0.3110785380415442
1992-04-30,0.31065056216103293
1992-05-31,0.30103009380118717
1992-06-30,0.300492789799371
1992-07-31,0.30909744753640267
1992-08-31,0.30411580710233005
1992-09-30,0.29916325653940595
1992-10-31,0.31651459681303606
1992-11-30,0.30688263517817305
1992-12-31,0.2975932143684489
1993-01-31,0.31493842436190217
1993-02-28,0.3145129012208244
1993-03-31,0.3007770386997729
1993-04-30,0.3090528959698716
1993-05-31,0.31296828572447205
1993-06-30,0.2994748951914532
1993-07-31,0.2903586328433407
1993-08-31,0.2899921302162257
1993-09-30,0.28534517474731824
1993-10-31,0.2846380536115529
1993-11-30,0.28416995700232694
1993-12-31,0.2881827971484243
1994-01-31,0.2664329580745533
1994-02-28,0.27034466967543525
1994-03-31,0.2785650744752133
1994-04-30,0.2612015392814806
1994-05-31,0.2566153137614241
1994-06-30,0.26908065357155675
1994-07-31,0.2814157996517114
1994-08-31,0.29359573523679083
1994-09-30,0.29752085245846627
1994-10-31,0.27603415287514826
1994-11-30,0.275602132547227
1994-12-31,0.2752796676134663
1995-01-31,0.29179892386919615
1995-02-28,0.291325979927316
1995-03-31,0.2867482539160941
1995-04-30,0.307156669919446
1995-05-31,0.3067726497091351
1995-06-30,0.3021779089101943
1995-07-31,0.28934441173685876
1995-08-31,0.27649089495973544
1995-09-30,0.2721262931775109
1995-10-31,0.2841557271578354
1995-11-30,0.27564633334811495
1995-12-31,0.27130668193171076
1996-01-31,0.28695839761751735
1996-02-29,0.2825075264225101
1996-03-31,0.2901737655570013
1996-04-30,0.2894946073262778
1996-05-31,0.2891570375547946
1996-06-30,0.28882079679815764
1996-07-31,0.292556687917625
1996-08-31,0.2882633276561895
1996-09-30,0.29988051951618644
1996-10-31,0.3033435702199016
1996-11-30,0.3148957889918776
1996-12-31,0.32249210987521165
1997-01-31,0.30190855920217174
1997-02-28,0.3015532782485873
1997-03-31,0.285422278488167
1997-04-30,0.26542737576588127
1997-05-31,0.25355589504059606
1997-06-30,0.253297038955357
1997-07-31,0.24919081673061394
1997-08-31,0.25671126697487223
1997-09-30,0.2524412982719629
1997-10-31,0.24437915618820438
1997-11-30,0.2325606835721869
1997-12-31,0.2208808534476428
1998-01-31,0.21689746553275802
1998-02-28,0.20536245856742102
1998-03-31,0.2015270807821157
1998-04-30,0.20525362088714036
1998-05-31,0.2203678622268112
1998-06-30,0.21640532704412635
1998-07-31,0.2238166230312488
1998-08-31,0.21603943676852919
1998-09-30,0.2045527588895365
1998-10-31,0.20813374953871006
1998-11-30,0.20802269571514237
1998-12-31,0.2154356499725799
1999-01-31,0.21904536610958958
1999-02-28,0.21904536610958958
1999-03-31,0.22277494510683238
1999-04-30,0.2561710026629062
1999-05-31,0.2446845014301166
1999-06-30,0.2371067916711744
1999-07-31,0.24792217996324
1999-08-31,0.2551588293252388
1999-09-30,0.27724732825921933
1999-10-31,0.27317318527213286
1999-11-30,0.2766663388805169
1999-12-31,0.28005256707908316
2000-01-31,0.2870948976494418
2000-02-29,0.31277396615504555
2000-03-31,0.3456518997392844
2000-04-30,0.3004419102645988
2000-05-31,0.3076116336224207
2000-06-30,0.3440087298605711
2000-07-31,0.3358122871924236
2000-08-31,0.32082872398586143
2000-09-30,0.32718537596169756
2000-10-31,0.32681267166167854
2000-11-30,0.32644129528671867
2000-12-31,0.3259481802106449
2001-01-31,0.3431788846657725
2001-02-28,0.3315908970263798
2001-03-31,0.29854428684028517
2001-04-30,0.31279113848205775
2001-05-31,0.3336253526393614
2001-06-30,0.31132320743160846
2001-07-31,0.28277646384417354
2001-08-31,0.28277646384417354
2001-09-30,0.2749632705682465
2001-10-31,0.24689817947197512
2001-11-30,0.23280327347829366
2001-12-31,0.21523888857632278
2002-01-31,0.19060201649052888
2002-02-28,0.18700489199691608
2002-03-31,0.2006897379613214
2002-04-30,0.21767531668203166
2002-05-31,0.19331695059054024
2002-06-30,0.18294799459941918
2002-07-31,0.2068979549224036
2002-08-31,0.22392703602593494
2002-09-30,0.2099423453903247
2002-10-31,0.24081804349889707
2002-11-30,0.25450263122421946
2002-12-31,0.26820264689511725
2003-01-31,0.2849499863079096
2003-02-28,0.3084295458974361
2003-03-31,0.3011274450489031
2003-04-30,0.24976603103444972
2003-05-31,0.23278974776238082
2003-06-30,0.2360901235758303
2003-07-31,0.24254171379221717
2003-08-31,0.25223965230942447
2003-09-30,0.2620427912304537
2003-10-31,0.2417192304769329
2003-11-30,0.234857548139222
2003-12-31,0.24131206051886894
2004-01-31,0.24077332962145565
2004-02-29,0.2203616881086159
2004-03-31,0.22348070556960525
2004-04-30,0.25686231995936
2004-05-31,0.29342691508849333
2004-06-30,0.30973463191747047
2004-07-31,0.2959534673586622
2004-08-31,0.27226009082634217
2004-09-30,0.27176118204954464
2004-10-31,0.3111391401913106
2004-11-30,0.33716214094658353
2004-12-31,0.32028684880832153
2005-01-31,0.2902316782743489
2005-02-28,0.30280807469736537
2005-03-31,0.3121014518008108
2005-04-30,0.32146350610750596
2005-05-31,0.2917067601121912
2005-06-30,0.27187350016423156
2005-07-31,0.30366203862079894
2005-08-31,0.33869152193233454
2005-09-30,0.4048444243315452
2005-10-31,0.38117649836707657
2005-11-30,0.3200591747250458
2005-12-31,0.3200591747250458
2006-01-31,0.3611586768771703
2006-02-28,0.33816703374916735
2006-03-31,0.3248545459158753
2006-04-30,0.3366917297185295
2006-05-31,0.3586502890291002
2006-06-30,0.3710030863168069
2006-07-31,0.3663474710201791
2006-08-31,0.35558675568074444
2006-09-30,0.23991449929134284
2006-10-31,0.20331594630052727
2006-11-30,0.23729413401482624
2006-12-31,0.27084340091581527
2007-01-31,0.24376276261093321
2007-02-28,0.26457690444743986
2007-03-31,0.28741151859855324
2007-04-30,0.2750091205516212
2007-05-31,0.2820758069869814
2007-06-30,0.28104139264412936
2007-07-31,0.2583917811827168
2007-08-31,0.2329890139072292
2007-09-30,0.28956420165242164
2007-10-31,0.3365021667731187
2007-11-30,0.3825759579160096
2007-12-31,0.36659786812161954
2008-01-31,0.3778287219679454
2008-02-29,0.36866093407415274
2008-03-31,0.35850714528970934
2008-04-30,0.3542087693141482
2008-05-31,0.36536534287754197
2008-06-30,0.4165737566055169
2008-07-31,0.45050190365246934
2008-08-31,0.4390527762448034
2008-09-30,0.41762225710553186
2008-10-31,0.34377419051486263
2008-11-30,0.18480284455725787
2008-12-31,0.11700373550213812
2009-01-31,0.11148395908305152
2009-02-28,0.11885806920156829
2009-03-31,0.0913708522637103
2009-04-30,0.08352568419023892
2009-05-31,0.05697525677742615
2009-06-30,0.04408101097566848
2009-07-31,0.0
2009-08-31,0.028694605374794555
2009-09-30,0.03509255565873126
2009-10-31,0.10481475255725699
2009-11-30,0.234024519835648
2009-12-31,0.2883737440187958
2010-01-31,0.2767121333533658
2010-02-28,0.24832871130415418
2010-03-31,0.25647533632829855
2010-04-30,0.2516780119599809
2010-05-31,0.2393995160870952
2010-06-30,0.18611050432356757
2010-07-31,0.19935546920836694
2010-08-31,0.18783951669431412
2010-09-30,0.1859142418722089
2010-10-31,0.18883749710700198
2010-11-30,0.18387403899416055
2010-12-31,0.20521700824438488
2011-01-31,0.22110667668205608
2011-02-28,0.24673133788042712
2011-03-31,0.27659915682074593
2011-04-30,0.30427071425290947
2011-05-31,0.3273349770245556
2011-06-30,0.32995392308767196
2011-07-31,0.3346402054360642
2011-08-31,0.34522051334393994
2011-09-30,0.34870220858152046
2011-10-31,0.3311592845170996
2011-11-30,0.3268794365701883
2011-12-31,0.3033542999173344
2012-01-31,0.3001339274005706
2012-02-29,0.2934522974552478
2012-03-31,0.27440193909244154
2012-04-30,0.2556893996991257
2012-05-31,0.22335181992730888
2012-06-30,0.21827222909176291
2012-07-31,0.2039916140901284
2012-08-31,0.2202095378983414
2012-09-30,0.2361470289333419
2012-10-31,0.24859103335782257
2012-11-30,0.22686077048743336
2012-12-31,0.22465458083230117
2013-01-31,0.22009636350733483
2013-02-28,0.24028112623641612
2013-03-31,0.2101081957484599
2013-04-30,0.1871525813174036
2013-05-31,0.20235288570792367
2013-06-30,0.22201357072436265
2013-07-31,0.23226539311906386
2013-08-31,0.21132034028498775
2013-09-30,0.1844896700501446
2013-10-31,0.17132221824395175
2013-11-30,0.19283573918296198
2013-12-31,0.20975118640591106
2014-01-31,0.2124652418693272
2014-02-28,0.18604489155364756
2014-03-31,0.2157844370799359
2014-04-30,0.24009895113213464
2014-05-31,0.2492719350101112
2014-06-30,0.24274871830267375
2014-07-31,0.23762856595132387
2014-08-31,0.22197156858786024
2014-09-30,0.22009571152547105
2014-10-31,0.21559392261002097
2014-11-30,0.19275446288699455
2014-12-31,0.15780779196706368
2015-01-31,0.10445449208052925
2015-02-28,0.11308836358059021
2015-03-31,0.11701562105019485
2015-04-30,0.11206126613572623
2015-05-31,0.12046341149455142
2015-06-30,0.1291963146366219
2015-07-31,0.1319825028953057
2015-08-31,0.1329261107633405
2015-09-30,0.11888101767258603
2015-10-31,0.12605722110294984
2015-11-30,0.14470872196256623
2015-12-31,0.156937958761302
2016-01-31,0.19311561934200333
2016-02-29,0.1695385495330676
2016-03-31,0.17221744639437345
2016-04-30,0.1891958191803763
2016-05-31,0.18350739641104044
2016-06-30,0.1835563403373838
2016-07-31,0.1708125341008283
2016-08-31,0.18210805180179035
2016-09-30,0.2119145708669271
2016-10-31,0.22020893677351341
2016-11-30,0.22011277999545178
2016-12-31,0.24225432126071733
2017-01-31,0.27002264014897026
2017-02-28,0.2881464807857725
2017-03-31,0.2658418074187409
2017-04-30,0.249832370321464
2017-05-31,0.23050546466421007
2017-06-30,0.217468373756409
2017-07-31,0.22257630430060255
2017-08-31,0.23484225614449272
2017-09-30,0.2500946958060582
2017-10-31,0.24043925911252795
2017-11-30,0.24960703048826471
2017-12-31,0.24703540019506642
2018-01-31,0.24832765458462802
2018-02-28,0.25510366940228313
2018-03-31,0.25918080601506793
2018-04-30,0.2676423029356949
2018-05-31,0.28642815487351125
2018-06-30,0.2879766432124972
2018-07-31,0.2907906116470476
2018-08-31,0.27803002477217476
2018-09-30,0.25924758982123797
2018-10-31,0.26891329095826266
2018-11-30,0.2480865645119057
2018-12-31,0.23932894498200474
2019-01-31,0.20822566199683445
2019-02-28,0.2101151012986482
2019-03-31,0.23212730785640504
2019-04-30,0.2392203454861427
2019-05-31,0.22685417585286724
