,FEDFUNDS
1973-07-31,0.5433070866141733
1973-08-31,0.5485564304461943
1973-09-30,0.563254593175853
1973-10-31,0.5228346456692914
1973-11-30,0.5238845144356955
1973-12-31,0.5196850393700787
1974-01-31,0.5039370078740159
1974-02-28,0.46824146981627296
1974-03-31,0.4881889763779527
1974-04-30,0.5490813648293964
1974-05-31,0.5910761154855644
1974-06-30,0.6236220472440945
1974-07-31,0.6755905511811023
1974-08-31,0.6278215223097113
1974-09-30,0.5926509186351706
1974-10-31,0.5254593175853018
1974-11-30,0.4934383202099737
1974-12-31,0.4451443569553805
1975-01-31,0.3716535433070866
1975-02-28,0.3249343832020997
1975-03-31,0.28818897637795277
1975-04-30,0.28556430446194225
1975-05-31,0.2713910761154855
1975-06-30,0.2887139107611548
1975-07-31,0.3175853018372703
1975-08-31,0.3196850393700787
1975-09-30,0.3249343832020997
1975-10-31,0.30288713910761156
1975-11-30,0.2713910761154855
1975-12-31,0.27034120734908135
1976-01-31,0.25301837270341204
1976-02-29,0.24776902887139102
1976-03-31,0.25144356955380576
1976-04-30,0.2503937007874016
1976-05-31,0.27506561679790026
1976-06-30,0.28503937007874014
1976-07-31,0.27611548556430443
1976-08-31,0.27506561679790026
1976-09-30,0.27296587926509186
1976-10-31,0.2608923884514435
1976-11-30,0.25721784776902884
1976-12-31,0.24146981627296588
1977-01-31,0.23937007874015748
1977-02-28,0.24304461942257216
1977-03-31,0.24356955380577427
1977-04-30,0.24566929133858267
1977-05-31,0.27821522309711283
1977-06-30,0.28031496062992123
1977-07-31,0.2818897637795275
1977-08-31,0.30708661417322836
1977-09-30,0.3196850393700787
1977-10-31,0.337007874015748
1977-11-30,0.3391076115485564
1977-12-31,0.3417322834645669
1978-01-31,0.34908136482939633
1978-02-28,0.35328083989501313
1978-03-31,0.3538057742782152
1978-04-30,0.35905511811023616
1978-05-31,0.3837270341207349
1978-06-30,0.3963254593175853
1978-07-31,0.40734908136482934
1978-08-31,0.4194225721784776
1978-09-30,0.4409448818897637
1978-10-31,0.4677165354330709
1978-11-30,0.5097112860892389
1978-12-31,0.5238845144356955
1979-01-31,0.525984251968504
1979-02-28,0.5254593175853018
1979-03-31,0.5270341207349082
1979-04-30,0.5228346456692914
1979-05-31,0.5349081364829397
1979-06-30,0.5375328083989501
1979-07-31,0.546981627296588
1979-08-31,0.5716535433070866
1979-09-30,0.5973753280839895
1979-10-31,0.7202099737532809
1979-11-30,0.689238845144357
1979-12-31,0.7207349081364829
1980-01-31,0.7228346456692913
1980-02-29,0.7391076115485565
1980-03-31,0.8997375328083991
1980-04-30,0.9217847769028872
1980-05-31,0.5737532808398951
1980-06-30,0.494488188976378
1980-07-31,0.47139107611548553
1980-08-31,0.5018372703412074
1980-09-30,0.5679790026246719
1980-10-31,0.6698162729658793
1980-11-30,0.8293963254593176
1980-12-31,0.989501312335958
1981-01-31,0.9989501312335957
1981-02-28,0.8335958005249344
1981-03-31,0.7690288713910761
1981-04-30,0.8225721784776904
1981-05-31,0.9695538057742782
1981-06-30,1.0
