,A191RL1Q225SBEA
1968-08-31,0.4849921011058452
1968-09-30,0.47709320695102686
1968-10-31,0.46919431279620855
1968-11-30,0.49447077409162715
1968-12-31,0.5197472353870458
1969-01-31,0.5450236966824644
1969-02-28,0.5176408636124276
1969-03-31,0.4902580305423907
1969-04-30,0.46287519747235384
1969-05-31,0.4707740916271722
1969-06-30,0.4786729857819905
1969-07-31,0.48657187993680884
1969-08-31,0.4623486045286993
1969-09-30,0.43812532912058977
1969-10-31,0.41390205371248023
1969-11-30,0.4207477619799895
1969-12-31,0.42759347024749866
1970-01-31,0.4344391785150079
1970-02-28,0.44075829383886256
1970-03-31,0.4470774091627172
1970-04-30,0.45339652448657186
1970-05-31,0.4697209057398631
1970-06-30,0.4860452869931543
1970-07-31,0.5023696682464455
1970-08-31,0.46076882569773564
1970-09-30,0.4191679831490258
1970-10-31,0.37756714060031593
1970-11-30,0.459189046866772
1970-12-31,0.540810953133228
1971-01-31,0.6224328593996841
1971-02-28,0.5745129015271195
1971-03-31,0.526592943654555
1971-04-30,0.4786729857819905
1971-05-31,0.48446550816219064
1971-06-30,0.4902580305423907
1971-07-31,0.4960505529225908
1971-08-31,0.4834123222748815
1971-09-30,0.4707740916271722
1971-10-31,0.45813586097946285
1971-11-30,0.493417588204318
1971-12-31,0.5286993154291733
1972-01-31,0.5639810426540284
1972-02-29,0.5734597156398105
1972-03-31,0.5829383886255924
1972-04-30,0.5924170616113744
1972-05-31,0.5629278567667193
1972-06-30,0.5334386519220642
1972-07-31,0.5039494470774092
1972-08-31,0.5202738283307003
1972-09-30,0.5365982095839916
1972-10-31,0.5529225908372828
1972-11-30,0.5708267509215377
1972-12-31,0.5887309110057926
1973-01-31,0.6066350710900474
1973-02-28,0.5755660874144286
1973-03-31,0.5444971037388099
1973-04-30,0.5134281200631912
1973-05-31,0.47919957872564506
1973-06-30,0.444971037388099
1973-07-31,0.4107424960505529
1973-08-31,0.4423380726698262
1973-09-30,0.47393364928909953
1973-10-31,0.5055292259083728
1973-11-30,0.4670879410215903
1973-12-31,0.4286466561348078
1974-01-31,0.3902053712480253
1974-02-28,0.4133754607688257
1974-03-31,0.4365455502896261
1974-04-30,0.4597156398104265
1974-05-31,0.43496577145866244
1974-06-30,0.41021590310689837
1974-07-31,0.3854660347551343
1974-08-31,0.3970510795155345
1974-09-30,0.4086361242759347
1974-10-31,0.4202211690363349
1974-11-30,0.4028436018957346
1974-12-31,0.3854660347551343
1975-01-31,0.36808846761453395
1975-02-28,0.4086361242759347
1975-03-31,0.4491837809373354
1975-04-30,0.48973143759873616
1975-05-31,0.5113217482885729
1975-06-30,0.5329120589784097
1975-07-31,0.5545023696682464
1975-08-31,0.5466034755134281
1975-09-30,0.5387045813586098
1975-10-31,0.5308056872037914
1975-11-30,0.5508162190626645
1975-12-31,0.5708267509215377
1976-01-31,0.5908372827804107
1976-02-29,0.5576619273301737
1976-03-31,0.5244865718799367
1976-04-30,0.4913112164296998
1976-05-31,0.4870984728804634
1976-06-30,0.482885729331227
1976-07-31,0.4786729857819905
1976-08-31,0.4823591363875724
1976-09-30,0.4860452869931543
1976-10-31,0.48973143759873616
1976-11-30,0.49973670352817273
1976-12-31,0.5097419694576093
1977-01-31,0.5197472353870458
1977-02-28,0.5365982095839915
1977-03-31,0.5534491837809373
1977-04-30,0.570300157977883
1977-05-31,0.5671406003159557
1977-06-30,0.5639810426540284
1977-07-31,0.5608214849921012
1977-08-31,0.5218536071616641
1977-09-30,0.482885729331227
1977-10-31,0.4439178515007899
1977-11-30,0.45076355976829907
1977-12-31,0.4576092680358083
1978-01-31,0.46445497630331756
1978-02-28,0.5439705107951553
1978-03-31,0.6234860452869931
1978-04-30,0.7030015797788309
1978-05-31,0.6382306477093207
1978-06-30,0.5734597156398105
1978-07-31,0.5086887835703001
1978-08-31,0.516061084781464
1978-09-30,0.5234333859926277
1978-10-31,0.5308056872037914
1978-11-30,0.5055292259083728
1978-12-31,0.4802527646129542
1979-01-31,0.4549763033175355
1979-02-28,0.45339652448657186
1979-03-31,0.4518167456556082
1979-04-30,0.45023696682464454
1979-05-31,0.46392838335966297
1979-06-30,0.4776197998946814
1979-07-31,0.4913112164296998
1979-08-31,0.4807793575566087
1979-09-30,0.4702474986835176
1979-10-31,0.4597156398104265
1979-11-30,0.4612954186413902
1979-12-31,0.46287519747235384
1980-01-31,0.46445497630331756
1980-02-29,0.4154818325434439
1980-03-31,0.3665086887835703
1980-04-30,0.3175355450236967
1980-05-31,0.3570300157977883
1980-06-30,0.39652448657187994
1980-07-31,0.43601895734597157
1980-08-31,0.47919957872564506
1980-09-30,0.5223802001053186
1980-10-31,0.5655608214849921
1980-11-30,0.5676671932596103
1980-12-31,0.5697735650342285
1981-01-31,0.5718799368088467
1981-02-28,0.5139547130068457
1981-03-31,0.45602948920484465
1981-04-30,0.3981042654028436
1981-05-31,0.4391785150078989
1981-06-30,0.4802527646129542
1981-07-31,0.5213270142180095
1981-08-31,0.4728804634017904
1981-09-30,0.42443391258557134
1981-10-31,0.3759873617693523
1981-11-30,0.3665086887835703
1981-12-31,0.3570300157977883
1982-01-31,0.34755134281200634
1982-02-28,0.38915218536071616
1982-03-31,0.430753027909426
1982-04-30,0.47235387045813587
1982-05-31,0.4549763033175355
1982-06-30,0.43759873617693523
1982-07-31,0.4202211690363349
1982-08-31,0.4291732490784623
1982-09-30,0.43812532912058977
1982-10-31,0.4470774091627172
1982-11-30,0.47446024223275407
1982-12-31,0.5018430753027909
1983-01-31,0.5292259083728278
1983-02-28,0.55028962611901
1983-03-31,0.5713533438651922
1983-04-30,0.5924170616113744
1983-05-31,0.5860979462875198
1983-06-30,0.5797788309636651
1983-07-31,0.5734597156398105
1983-08-31,0.5755660874144286
1983-09-30,0.5776724591890469
1983-10-31,0.5797788309636651
1983-11-30,0.5771458662453923
1983-12-31,0.5745129015271195
1984-01-31,0.5718799368088467
