Date,PPIACO
1973-07-31,0.7166817350872315
1973-08-31,0.8737445818351632
1973-09-30,0.8159027024397942
1973-10-31,0.7979831845494556
1973-11-30,0.7960405846190535
1973-12-31,0.7946190835750904
1974-01-31,0.8568985980637018
1974-02-28,0.86034339127755
1974-03-31,0.8265537268438359
1974-04-30,0.8362403733164356
1974-05-31,0.821860793469277
1974-06-30,0.7682197784729279
1974-07-31,0.9196541887649763
1974-08-31,0.8542592821122075
1974-09-30,0.9052983115398097
1974-10-31,0.9861594413066119
1974-11-30,1.0
1974-12-31,0.9353206964012362
1975-01-31,0.8405538744528533
1975-02-28,0.7711131423121254
1975-03-31,0.7217601318455056
1975-04-30,0.7292160992680665
1975-05-31,0.7046830725446156
1975-06-30,0.6986677631076155
1975-07-31,0.6269003872528891
1975-08-31,0.5469473202874683
1975-09-30,0.5650631940570382
1975-10-31,0.5355811218063848
1975-11-30,0.49917222635247477
1975-12-31,0.5125888110046062
1976-01-31,0.5168146887866027
1976-02-29,0.5260523067918845
1976-03-31,0.5444798682362525
1976-04-30,0.5430405927267262
1976-05-31,0.533352592907713
1976-06-30,0.5462289321897097
1976-07-31,0.5316244389815201
1976-08-31,0.5095334352226872
1976-09-30,0.5088399393529944
1976-10-31,0.49545491821418036
1976-11-30,0.5129229691320158
1976-12-31,0.5252886856090251
1977-01-31,0.5291187600417898
1977-02-28,0.5587044921203902
1977-03-31,0.579548344791956
1977-04-30,0.5861909065762521
1977-05-31,0.5897639495750865
1977-06-30,0.5637459450656233
1977-07-31,0.5503955121697439
1977-08-31,0.5549873456982302
1977-09-30,0.5499299904428951
1977-10-31,0.5578783038947932
1977-11-30,0.5617176012399159
1977-12-31,0.5564255454437075
1978-01-31,0.5678036526686767
1978-02-28,0.5660260456156572
1978-03-31,0.5645332835528578
1978-04-30,0.5664867835212105
1978-05-31,0.5735168053981293
1978-06-30,0.6012949415961775
1978-07-31,0.6126625828171757
1978-08-31,0.6168745930380082
1978-09-30,0.6275393774093679
1978-10-31,0.6458251953361644
1978-11-30,0.6489454712719875
1978-12-31,0.6551294622505373
1979-01-31,0.671846506882908
1979-02-28,0.6840979038888673
1979-03-31,0.692805375909423
1979-04-30,0.6964098426087999
1979-05-31,0.6979672392118496
1979-06-30,0.695885682493003
1979-07-31,0.7230109684854749
1979-08-31,0.7373955898451183
1979-09-30,0.7595600627570216
1979-10-31,0.7697309364669378
