Date,UMCSENT
1973-08-31,0.35483870967741926
1973-09-30,0.37903225806451624
1973-10-31,0.403225806451613
1973-11-30,0.42741935483870974
1973-12-31,0.34838709677419355
1974-01-31,0.2693548387096776
1974-02-28,0.19032258064516128
1974-03-31,0.24569892473118293
1974-04-30,0.30107526881720426
1974-05-31,0.3564516129032258
1974-06-30,0.3150537634408601
1974-07-31,0.27365591397849465
1974-08-31,0.23225806451612918
1974-09-30,0.20591397849462378
1974-10-31,0.17956989247311828
1974-11-30,0.15322580645161288
1974-12-31,0.1430107526881721
1975-01-31,0.1327956989247312
1975-02-28,0.12258064516129041
1975-03-31,0.20430107526881724
1975-04-30,0.2860215053763442
1975-05-31,0.3677419354838709
1975-06-30,0.3833333333333333
1975-07-31,0.3989247311827957
1975-08-31,0.4145161290322581
1975-09-30,0.413978494623656
1975-10-31,0.41344086021505366
1975-11-30,0.41290322580645156
1975-12-31,0.46129032258064506
1976-01-31,0.5096774193548386
1976-02-29,0.5580645161290321
1976-03-31,0.5510752688172043
1976-04-30,0.5440860215053764
1976-05-31,0.5370967741935484
1976-06-30,0.571505376344086
1976-07-31,0.6059139784946237
1976-08-31,0.6403225806451613
1976-09-30,0.6258064516129032
1976-10-31,0.6112903225806452
1976-11-30,0.596774193548387
1976-12-31,0.5973118279569893
1977-01-31,0.5978494623655914
1977-02-28,0.5983870967741935
1977-03-31,0.6150537634408602
1977-04-30,0.631720430107527
1977-05-31,0.6483870967741936
1977-06-30,0.6419354838709677
1977-07-31,0.635483870967742
1977-08-31,0.6290322580645162
1977-09-30,0.6043010752688172
1977-10-31,0.5795698924731183
1977-11-30,0.5548387096774194
1977-12-31,0.5491935483870969
1978-01-31,0.5435483870967743
1978-02-28,0.5532258064516129
1978-03-31,0.46451612903225814
1978-04-30,0.5096774193548386
1978-05-31,0.5306451612903227
1978-06-30,0.4838709677419355
1978-07-31,0.5225806451612904
1978-08-31,0.45806451612903243
1978-09-30,0.49032258064516143
1978-10-31,0.4725806451612904
1978-11-30,0.403225806451613
1978-12-31,0.25967741935483857
1979-01-31,0.3564516129032258
1979-02-28,0.38548387096774195
1979-03-31,0.2967741935483872
1979-04-30,0.25806451612903225
